AI suite output tensor offset;output channel (C);output depth (D);output height (H);output width (W);output C-vector (Cvec);->;logical output tensor offset;transformed channel (C);transformed depth (D);transformed height (H);transformed width (W)
810;25;0;0;0;10;->;810;810;0;0;0
811;25;0;0;0;11;->;811;811;0;0;0
812;25;0;0;0;12;->;812;812;0;0;0
813;25;0;0;0;13;->;813;813;0;0;0
814;25;0;0;0;14;->;814;814;0;0;0
815;25;0;0;0;15;->;815;815;0;0;0
816;25;0;0;0;16;->;816;816;0;0;0
817;25;0;0;0;17;->;817;817;0;0;0
818;25;0;0;0;18;->;818;818;0;0;0
819;25;0;0;0;19;->;819;819;0;0;0
820;25;0;0;0;20;->;820;820;0;0;0
821;25;0;0;0;21;->;821;821;0;0;0
822;25;0;0;0;22;->;822;822;0;0;0
823;25;0;0;0;23;->;823;823;0;0;0
824;25;0;0;0;24;->;824;824;0;0;0
825;25;0;0;0;25;->;825;825;0;0;0
826;25;0;0;0;26;->;826;826;0;0;0
827;25;0;0;0;27;->;827;827;0;0;0
828;25;0;0;0;28;->;828;828;0;0;0
829;25;0;0;0;29;->;829;829;0;0;0
830;25;0;0;0;30;->;830;830;0;0;0
831;25;0;0;0;31;->;831;831;0;0;0
832;26;0;0;0;0;->;832;832;0;0;0
833;26;0;0;0;1;->;833;833;0;0;0
834;26;0;0;0;2;->;834;834;0;0;0
835;26;0;0;0;3;->;835;835;0;0;0
836;26;0;0;0;4;->;836;836;0;0;0
837;26;0;0;0;5;->;837;837;0;0;0
838;26;0;0;0;6;->;838;838;0;0;0
839;26;0;0;0;7;->;839;839;0;0;0
840;26;0;0;0;8;->;840;840;0;0;0
841;26;0;0;0;9;->;841;841;0;0;0
842;26;0;0;0;10;->;842;842;0;0;0
843;26;0;0;0;11;->;843;843;0;0;0
844;26;0;0;0;12;->;844;844;0;0;0
845;26;0;0;0;13;->;845;845;0;0;0
846;26;0;0;0;14;->;846;846;0;0;0
847;26;0;0;0;15;->;847;847;0;0;0
848;26;0;0;0;16;->;848;848;0;0;0
849;26;0;0;0;17;->;849;849;0;0;0
850;26;0;0;0;18;->;850;850;0;0;0
851;26;0;0;0;19;->;851;851;0;0;0
852;26;0;0;0;20;->;852;852;0;0;0
853;26;0;0;0;21;->;853;853;0;0;0
854;26;0;0;0;22;->;854;854;0;0;0
855;26;0;0;0;23;->;855;855;0;0;0
856;26;0;0;0;24;->;856;856;0;0;0
857;26;0;0;0;25;->;857;857;0;0;0
858;26;0;0;0;26;->;858;858;0;0;0
859;26;0;0;0;27;->;859;859;0;0;0
860;26;0;0;0;28;->;860;860;0;0;0
861;26;0;0;0;29;->;861;861;0;0;0
862;26;0;0;0;30;->;862;862;0;0;0
863;26;0;0;0;31;->;863;863;0;0;0
864;27;0;0;0;0;->;864;864;0;0;0
865;27;0;0;0;1;->;865;865;0;0;0
866;27;0;0;0;2;->;866;866;0;0;0
867;27;0;0;0;3;->;867;867;0;0;0
868;27;0;0;0;4;->;868;868;0;0;0
869;27;0;0;0;5;->;869;869;0;0;0
870;27;0;0;0;6;->;870;870;0;0;0
871;27;0;0;0;7;->;871;871;0;0;0
872;27;0;0;0;8;->;872;872;0;0;0
873;27;0;0;0;9;->;873;873;0;0;0
874;27;0;0;0;10;->;874;874;0;0;0
875;27;0;0;0;11;->;875;875;0;0;0
876;27;0;0;0;12;->;876;876;0;0;0
877;27;0;0;0;13;->;877;877;0;0;0
878;27;0;0;0;14;->;878;878;0;0;0
879;27;0;0;0;15;->;879;879;0;0;0
880;27;0;0;0;16;->;880;880;0;0;0
881;27;0;0;0;17;->;881;881;0;0;0
882;27;0;0;0;18;->;882;882;0;0;0
883;27;0;0;0;19;->;883;883;0;0;0
884;27;0;0;0;20;->;884;884;0;0;0
885;27;0;0;0;21;->;885;885;0;0;0
886;27;0;0;0;22;->;886;886;0;0;0
887;27;0;0;0;23;->;887;887;0;0;0
888;27;0;0;0;24;->;888;888;0;0;0
889;27;0;0;0;25;->;889;889;0;0;0
890;27;0;0;0;26;->;890;890;0;0;0
891;27;0;0;0;27;->;891;891;0;0;0
892;27;0;0;0;28;->;892;892;0;0;0
893;27;0;0;0;29;->;893;893;0;0;0
894;27;0;0;0;30;->;894;894;0;0;0
895;27;0;0;0;31;->;895;895;0;0;0
896;28;0;0;0;0;->;896;896;0;0;0
897;28;0;0;0;1;->;897;897;0;0;0
898;28;0;0;0;2;->;898;898;0;0;0
899;28;0;0;0;3;->;899;899;0;0;0
900;28;0;0;0;4;->;900;900;0;0;0
901;28;0;0;0;5;->;901;901;0;0;0
902;28;0;0;0;6;->;902;902;0;0;0
903;28;0;0;0;7;->;903;903;0;0;0
904;28;0;0;0;8;->;904;904;0;0;0
905;28;0;0;0;9;->;905;905;0;0;0
906;28;0;0;0;10;->;906;906;0;0;0
907;28;0;0;0;11;->;907;907;0;0;0
908;28;0;0;0;12;->;908;908;0;0;0
909;28;0;0;0;13;->;909;909;0;0;0
910;28;0;0;0;14;->;910;910;0;0;0
911;28;0;0;0;15;->;911;911;0;0;0
912;28;0;0;0;16;->;912;912;0;0;0
913;28;0;0;0;17;->;913;913;0;0;0
914;28;0;0;0;18;->;914;914;0;0;0
915;28;0;0;0;19;->;915;915;0;0;0
916;28;0;0;0;20;->;916;916;0;0;0
917;28;0;0;0;21;->;917;917;0;0;0
918;28;0;0;0;22;->;918;918;0;0;0
919;28;0;0;0;23;->;919;919;0;0;0
920;28;0;0;0;24;->;920;920;0;0;0
921;28;0;0;0;25;->;921;921;0;0;0
922;28;0;0;0;26;->;922;922;0;0;0
923;28;0;0;0;27;->;923;923;0;0;0
924;28;0;0;0;28;->;924;924;0;0;0
925;28;0;0;0;29;->;925;925;0;0;0
926;28;0;0;0;30;->;926;926;0;0;0
927;28;0;0;0;31;->;927;927;0;0;0
928;29;0;0;0;0;->;928;928;0;0;0
929;29;0;0;0;1;->;929;929;0;0;0
930;29;0;0;0;2;->;930;930;0;0;0
931;29;0;0;0;3;->;931;931;0;0;0
932;29;0;0;0;4;->;932;932;0;0;0
933;29;0;0;0;5;->;933;933;0;0;0
934;29;0;0;0;6;->;934;934;0;0;0
935;29;0;0;0;7;->;935;935;0;0;0
936;29;0;0;0;8;->;936;936;0;0;0
937;29;0;0;0;9;->;937;937;0;0;0
938;29;0;0;0;10;->;938;938;0;0;0
939;29;0;0;0;11;->;939;939;0;0;0
940;29;0;0;0;12;->;940;940;0;0;0
941;29;0;0;0;13;->;941;941;0;0;0
942;29;0;0;0;14;->;942;942;0;0;0
943;29;0;0;0;15;->;943;943;0;0;0
944;29;0;0;0;16;->;944;944;0;0;0
945;29;0;0;0;17;->;945;945;0;0;0
946;29;0;0;0;18;->;946;946;0;0;0
947;29;0;0;0;19;->;947;947;0;0;0
948;29;0;0;0;20;->;948;948;0;0;0
949;29;0;0;0;21;->;949;949;0;0;0
950;29;0;0;0;22;->;950;950;0;0;0
951;29;0;0;0;23;->;951;951;0;0;0
952;29;0;0;0;24;->;952;952;0;0;0
953;29;0;0;0;25;->;953;953;0;0;0
954;29;0;0;0;26;->;954;954;0;0;0
955;29;0;0;0;27;->;955;955;0;0;0
956;29;0;0;0;28;->;956;956;0;0;0
957;29;0;0;0;29;->;957;957;0;0;0
958;29;0;0;0;30;->;958;958;0;0;0
959;29;0;0;0;31;->;959;959;0;0;0
960;30;0;0;0;0;->;960;960;0;0;0
961;30;0;0;0;1;->;961;961;0;0;0
962;30;0;0;0;2;->;962;962;0;0;0
963;30;0;0;0;3;->;963;963;0;0;0
964;30;0;0;0;4;->;964;964;0;0;0
965;30;0;0;0;5;->;965;965;0;0;0
966;30;0;0;0;6;->;966;966;0;0;0
967;30;0;0;0;7;->;967;967;0;0;0
968;30;0;0;0;8;->;968;968;0;0;0
969;30;0;0;0;9;->;969;969;0;0;0
970;30;0;0;0;10;->;970;970;0;0;0
971;30;0;0;0;11;->;971;971;0;0;0
972;30;0;0;0;12;->;972;972;0;0;0
973;30;0;0;0;13;->;973;973;0;0;0
974;30;0;0;0;14;->;974;974;0;0;0
975;30;0;0;0;15;->;975;975;0;0;0
976;30;0;0;0;16;->;976;976;0;0;0
977;30;0;0;0;17;->;977;977;0;0;0
978;30;0;0;0;18;->;978;978;0;0;0
979;30;0;0;0;19;->;979;979;0;0;0
980;30;0;0;0;20;->;980;980;0;0;0
981;30;0;0;0;21;->;981;981;0;0;0
982;30;0;0;0;22;->;982;982;0;0;0
983;30;0;0;0;23;->;983;983;0;0;0
984;30;0;0;0;24;->;984;984;0;0;0
985;30;0;0;0;25;->;985;985;0;0;0
986;30;0;0;0;26;->;986;986;0;0;0
987;30;0;0;0;27;->;987;987;0;0;0
988;30;0;0;0;28;->;988;988;0;0;0
989;30;0;0;0;29;->;989;989;0;0;0
990;30;0;0;0;30;->;990;990;0;0;0
991;30;0;0;0;31;->;991;991;0;0;0
992;31;0;0;0;0;->;992;992;0;0;0
993;31;0;0;0;1;->;993;993;0;0;0
994;31;0;0;0;2;->;994;994;0;0;0
995;31;0;0;0;3;->;995;995;0;0;0
996;31;0;0;0;4;->;996;996;0;0;0
997;31;0;0;0;5;->;997;997;0;0;0
998;31;0;0;0;6;->;998;998;0;0;0
999;31;0;0;0;7;->;999;999;0;0;0
1000;31;0;0;0;8;->;1000;1000;0;0;0
